id,name,n_users,birth,nProposals,nVotes,nStakes,ETH,GEN,otherTokens
0x0b93ba560283350d4216f29dc57e15df38d0eace,CuraDAO,44,1562509769,23,67,31,1065.22,39.11,634.06
0x294f999356ed03347c7a23bcbcf8d33fa41dc830,Genesis Alpha,266,1554713319,379,2194,1075,120.46,0.12,84.65
0x2b8c70fffda7f3d7667f7cfede1429313886329c,ETHGlobal,48,1573036176,19,74,49,0.14,0.03,0.0
0x3324b516df92e78463d8b0616dd146cf6c58b0b9,efxDAO,26,1560192915,16,48,25,0.32,27.34,0.04
0x39757e7cdb7022c3829195d57b29428d79593c9d,Trips Community DAO,10,1576529831,6,4,1,15.81,0.0,0.0
0x440583455bcd85ab2bd429c015d3aabcae135f0a,PolkaDAO,71,1558617937,79,184,150,158.3,69.3,2985.73
0x45cf7d5c503b6417d570929368b8f4c4567ad9eb,BuffiDAO,0,1580646406,0,0,0,0.0,0.0,0.0
0x519b70055af55a007110b4ff99b0ea33071c720a,dxDAO,404,1559076032,95,712,194,72.13,8758.62,340.86
0x5f667f138d6c5559a0966c241c867feeaea4c28c,HackerDAO A,4,1576255223,1,1,0,0.0,0.0,0.0
0x61151f7ef32c920794ed89b2545f1672266d6420,The General Store DAO,10,1563978419,30,55,17,0.0,14.85,0.0
0x6191cb94a29a3ca870adea25cd72e995303c2848,Fortmatic DAO,22,1576163114,0,0,0,0.0,0.0,0.0
0x63df13b12bac071ba31b6599b8d97c82cb96a768,The Illuminati,5,1564058569,4,4,0,0.0,0.41,0.0
0x6bee9b81e434f7afce72a43a4016719315069539,Kyber DAO Exp#2,4946,1561033257,55,204,74,15.8,56.91,1564.53
0x70c36947837b43665ed5ea85c112aa0f72cf9fb3,Psychedelic Society DAO,15,1556044264,21,11,6,0.0,0.0,0.0
0x8709962c7469fda4913ba8867964d7e592ec2c69,TuneDAO,4,1584723507,1,1,0,0.0,0.0,0.0
0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,FestDAO,38,1571344656,78,125,115,604.26,124.0,1611.4
0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,1UP,17,1584565627,34,28,39,30.02,51.51,69.44
0xd358d4f159e6fae32d1b6096bdace829a5fe33fb,dOrg,41,1581539885,42,210,0,0.0,0.0,4.39
0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,necDAO,107,1576748250,9,56,13,3159.6,5707.58,0.0
0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15,DAOfund,7,1564124033,42,53,22,0.0,2.6,107.54
0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,CENNZnet Grants DAO,6,1586182058,4,2,3,170.34,600.45,10080.36
0xf931ff012cbff471cccb90a784e3e88b512c890a,DetroitDAO,6,1569625955,11,23,0,243.26,0.0,1146.9
